team,elo,wins_last5,draws_last5,loss_last5,gf_avg_last5,ga_avg_last5,gd_avg_last5,last_seen_date
Eswatini,1233.0,0.0,2.0,3.0,0.6,2.8,-2.2,2025-10-08
Cuba,1225.0,0.0,2.0,3.0,0.6,1.6,-1.0,2025-11-15
Fiji,1221.0,1.0,1.0,3.0,0.8,1.6,-0.8,2025-11-17
Turkmenistan,1217.0,2.0,0.0,3.0,1.2,2.2,-1.0000000000000002,2025-11-18
Lesotho,1215.0,1.0,2.0,2.0,0.6,1.4,-0.7999999999999999,2025-11-18
Mayotte,1209.0,4.0,0.0,1.0,2.0,0.8,1.2,2023-08-24
Philippines,1155.0,3.0,1.0,1.0,2.0,1.4,0.6000000000000001,2025-11-18
Bermuda,1151.0,1.0,0.0,4.0,0.8,2.8,-2.0,2025-11-13
Chad,1150.0,0.0,1.0,4.0,0.8,2.0,-1.2,2025-11-17
Tahiti,1147.0,4.0,0.0,1.0,1.8,0.6,1.2000000000000002,2024-11-18
Yemen,1137.0,3.0,2.0,0.0,3.6,0.2,3.4,2025-11-26
India,1123.0,1.0,2.0,2.0,1.0,1.0,0.0,2025-11-18
Grenada,1122.0,3.0,0.0,2.0,2.0,1.2,0.8,2026-01-18
Mauritius,1084.0,0.0,2.0,3.0,0.8,2.0,-1.2,2025-10-13
Eritrea,1075.0,0.0,0.0,5.0,0.4,2.2,-1.8000000000000005,2019-09-10
Andorra,1074.0,0.0,2.0,3.0,0.6,1.6,-1.0,2025-11-17
Singapore,1073.0,2.0,2.0,1.0,1.4,1.2,0.1999999999999999,2025-11-13
Belize,1056.0,2.0,0.0,3.0,0.6,1.6,-1.0,2025-06-07
Vanuatu,1056.0,2.0,1.0,2.0,1.8,1.6,0.1999999999999999,2025-11-17
Afghanistan,1055.0,0.0,1.0,4.0,0.4,1.6,-1.2000000000000002,2025-10-14
Gibraltar,1051.0,0.0,1.0,4.0,0.2,2.8,-2.6,2025-11-14
Dominica,999.0,0.0,1.0,4.0,1.0,3.6,-2.6,2025-05-11
Montserrat,971.0,2.0,0.0,3.0,0.8,1.6,-0.8,2025-06-10
Myanmar,956.0,2.0,1.0,2.0,1.0,2.4,-1.4,2025-10-14
Bangladesh,940.0,1.0,3.0,1.0,1.0,0.8,0.1999999999999999,2025-11-18
Barbados,938.0,1.0,3.0,1.0,1.4,1.6,-0.2000000000000001,2025-11-15
Aruba,917.0,1.0,1.0,3.0,1.4,3.0,-1.6,2025-11-15
Nepal,917.0,0.0,2.0,3.0,0.8,1.6,-0.8,2025-11-18
Liechtenstein,900.0,0.0,0.0,5.0,0.2,3.4,-3.2,2025-11-18
Taiwan,866.0,1.0,0.0,4.0,1.2,3.2,-2.0,2025-11-18
Bonaire,861.0,2.0,0.0,3.0,1.2,2.0,-0.8,2025-11-15
Somalia,857.0,1.0,0.0,4.0,0.4,2.0,-1.6,2025-11-26
Cambodia,850.0,0.0,1.0,4.0,1.4,2.2,-0.8000000000000003,2025-06-05
Seychelles,845.0,0.0,0.0,5.0,0.2,4.0,-3.8,2025-10-14
Maldives,841.0,0.0,0.0,5.0,0.4,3.0,-2.6,2025-11-18
Pakistan,828.0,0.0,2.0,3.0,0.2,1.4,-1.2,2025-11-18
Mongolia,805.0,1.0,0.0,4.0,0.4,1.6,-1.2000000000000002,2024-12-11
Bahamas,782.0,0.0,0.0,5.0,1.2,4.4,-3.2,2025-11-12
Tuvalu,757.0,1.0,0.0,4.0,1.0,7.2,-6.2,2023-11-27
Djibouti,752.0,0.0,2.0,3.0,0.4,2.4,-2.0,2025-11-26
Samoa,734.0,2.0,0.0,3.0,1.6,3.4,-1.7999999999999998,2024-11-15
Laos,715.0,1.0,0.0,4.0,1.0,3.4,-2.4,2025-11-19
Guam,705.0,0.0,0.0,5.0,0.4,2.2,-1.8000000000000005,2023-10-17
Brunei,655.0,1.0,0.0,4.0,0.6,3.8,-3.2,2025-11-18
Anguilla,617.0,0.0,0.0,5.0,0.0,2.2,-2.2,2025-11-12
Bhutan,614.0,0.0,1.0,4.0,0.2,2.0,-1.8,2025-11-18
Tonga,520.0,0.0,0.0,5.0,0.8,5.6,-4.8,2024-09-09
